category_list,funding_total_usd,country_code,funding_rounds,Num_of_investor,funding_duration,first_funding_at_UTC,last_funding_at_UTC,label
Curated Web,2000000.0,CHN,1,1,0,13957,13957,0
Games,41250.0,HKG,1,1,0,16252,16252,0
Analytics,33600000.0,USA,4,14,1040,15708,16748,0
Mobile,1150050.0,USA,3,13,931,15175,16106,0
E-Commerce,40000.0,CHL,1,1,0,15754,15754,0
Apps|Cable|Distribution|Software,5000000.0,USA,1,1,0,16511,16511,1
Search,40000.0,USA,1,1,0,15209,15209,0
Art|E-Commerce|Marketplaces,500000.0,USA,1,3,0,14379,14379,1
Curated Web,2535000.0,USA,2,13,411,14610,15021,1
Curated Web,6795451.0,USA,9,13,2221,14531,16752,0
Local Businesses|Restaurants,10661772.8991108,FRA,5,17,1054,15689,16743,0
Cosmetics|Marketplaces,8900000.0,FRA,1,5,0,16625,16625,0
Games|Media,10000000.0,CHN,3,4,1307,14975,16282,0
Hospitality,3000000.0,CHN,2,2,949,13885,14834,0
Education,4500000.0,CHN,2,2,243,13149,13392,0
Health Care|Health Care Information Technology|Hospitals,4000000.0,USA,2,6,328,16400,16728,0
Analytics,1250000.0,USA,2,4,28,15280,15308,1
Software,35000000.0,USA,1,1,0,14676,14676,1
E-Commerce|Mobile Commerce|Social Commerce,1600000.0,USA,2,2,189,16009,16198,0
Biotechnology|Technology,55000000.0,USA,1,3,0,16447,16447,0
Social Travel,20000000.0,CHN,1,1,0,16188,16188,0
Enterprise Software,1800000.0,USA,1,1,0,15055,15055,0
Health and Wellness|Personal Health,935000.0,USA,1,5,0,16400,16400,0
Audio|Mobile|Music,440000.0,AUS,3,3,425,15461,15886,0
Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,794000.0,USA,6,7,695,15376,16071,0
E-Commerce|SaaS,1000000.0,ROM,2,1,1992,14610,16602,0
Software,378812.0,GBR,1,1,0,16147,16147,0
Publishing|Services,130636.0,FRA,1,1,0,15414,15414,0
Mobile|Service Providers|Software,1809056.0,KOR,1,1,0,16415,16415,0
Manufacturing,71450000.0,USA,9,19,2569,13965,16534,0
Augmented Reality|Computer Vision|Games|iPad|Mobile,700000.0,SWE,1,1,0,15506,15506,1
Advertising|Big Data Analytics|Interest Graph,5500000.0,USA,2,6,666,14426,15092,0
Advertising|Entertainment|Real Time|Social Media|Sports|Video,500000.0,USA,1,1,0,14734,14734,0
Software,3400000.0,USA,3,14,1005,15340,16345,0
Public Transportation,16000000.0,CHN,1,2,0,16591,16591,0
Software,14000000.0,USA,1,1,0,11793,11793,1
Internet,5250000.0,USA,2,2,239,16484,16723,0
Travel,84440319.0,CHN,3,5,2239,13879,16118,0
Education|Language Learning,135000000.0,USA,5,15,1510,14975,16485,0
Finance|FinTech,9478511.0,CHN,3,3,2738,13149,15887,0
Clean Technology|Residential Solar,5000000.0,USA,1,1,0,14651,14651,0
Games|Software|Video Games,200000000.0,RUS,1,1,0,15250,15250,0
Health Care|Insurance|Medical,2500000.0,USA,1,1,0,16552,16552,0
Geospatial|Maps|Outdoors,40000.0,NOR,1,1,0,15441,15441,0
Health and Wellness|Health Care|Internet|SMS,37639.0,COL,1,1,0,16211,16211,0
Doctors|Health Care|Health Care Information Technology|Video|Video Chat,1700000.0,USA,2,13,1441,15196,16637,1
Health and Wellness|Mobile Health,2100000.0,USA,3,5,760,15775,16535,0
E-Commerce,4163132.0,CHN,2,3,380,15949,16329,0
Health and Wellness|Health Care|Services,30000000.0,USA,1,5,0,15785,15785,0
Social Media,500000.0,USA,1,2,0,15922,15922,0
Financial Services|FinTech,10000000.0,USA,1,2,0,16197,16197,0
E-Commerce,117000000.0,USA,5,7,1406,15281,16687,0
E-Commerce,750000.0,USA,1,1,0,15614,15614,0
